chas,val
tang,0.0005325469843140973
tb,-1.5093586169800943e-06
aeavol,1.8553711237101478e-05
cash,3.693711515984077e-06
chtx,2.9570369072751124e-05
cinvest,4.295619346450508e-06
ear,-1.1147255258414646e-05
nincr,-0.00026432615000204773
roaq,6.370757938650717e-05
roavol,-1.0678032696942452e-07
roeq,-4.8918105964301795e-06
rsup,2.0009438901236187e-05
stdacc,-3.730426572201573e-06
stdcf,-1.6100433098409361e-06
ms,1.0686229648670942e-05
baspread,-2.2859448328693688e-07
ill,5.316242175423813e-05
maxret,-3.083060530745252e-05
retvol,8.545604157639275e-08
std_dolvol,2.8673053704131313e-06
std_turn,-6.792329774740757e-07
zerotrade,6.250135527463563e-07
bm_x,0.000271421832020724
bm_ia,0.00012121151453270418
dum__1.0,-9.158000285336421e-07
dum__2.0,-5.855993745473853e-06
dum__7.0,7.346198632285361e-05
dum__8.0,3.0170904440407487e-05
dum__9.0,-0.00017195005134612584
dum__10.0,-1.4713174486535863e-05
dum__12.0,2.3696743473022863e-06
dum__13.0,3.9671228452220486e-05
dum__14.0,0.0001673410485022453
dum__15.0,1.7975554578164576e-06
dum__16.0,-1.1923377092826204e-05
dum__17.0,0.0002655781218385833
dum__20.0,-8.097302812148932e-07
dum__21.0,8.64689789248363e-06
dum__22.0,9.652771421564399e-06
dum__23.0,-0.00016370488046085763
dum__24.0,-0.0002503732790974933
dum__25.0,-1.1428798462054246e-06
dum__26.0,7.766205234072121e-06
dum__27.0,-2.2220818518547958e-08
dum__28.0,1.942043460823051e-06
dum__29.0,2.1962627273164337e-05
dum__30.0,-1.1120623713556377e-06
dum__31.0,-0.00015941607753250375
dum__32.0,5.46275599033752e-07
dum__33.0,0.00020529913984501658
dum__34.0,-0.00018947349207443231
dum__35.0,6.621898317293873e-06
dum__36.0,-8.390504741717653e-06
dum__37.0,-6.562166509627154e-07
dum__38.0,0.0006729622262117707
dum__39.0,5.962237971668394e-07
dum__40.0,-9.532565256598069e-06
dum__41.0,-0.00015595665736933828
dum__42.0,-9.503858064913162e-05
dum__44.0,-5.5506041620967395e-05
dum__45.0,3.014533174217071e-05
dum__46.0,1.4013638027776665e-09
dum__47.0,-6.955147291615171e-05
dum__48.0,-0.00012036526190961627
dum__49.0,-4.118032553845907e-08
dum__50.0,-0.00010500746995306676
dum__51.0,-0.0001237170895060924
dum__52.0,-6.455469466015717e-05
dum__53.0,-4.3650502261072255e-06
dum__54.0,-3.5385306921098536e-05
dum__55.0,0.00015720401722191246
dum__56.0,-8.381167878601659e-07
dum__57.0,6.875456492527743e-06
dum__58.0,4.819655476662188e-06
dum__59.0,5.1135771416133124e-06
dum__60.0,8.549799503931865e-07
dum__61.0,-6.332193779717832e-05
dum__62.0,-9.998391226062608e-09
dum__63.0,9.295410530019144e-06
dum__64.0,1.8691147912197614e-06
dum__65.0,1.9660273842259102e-07
dum__67.0,-1.1628741736213755e-07
dum__70.0,-5.1179998632466805e-05
dum__72.0,4.669436651671965e-06
dum__73.0,0.017561710796057284
dum__75.0,-3.108523173828148e-05
dum__76.0,2.3942293197465325e-06
dum__78.0,2.1163151980863049e-07
dum__79.0,6.0296432950524004e-05
dum__80.0,1.2174342712001351e-05
dum__81.0,3.0812252916734284e-05
dum__82.0,7.937009788405724e-05
