city,state,censdist,year,sworn,civil,elecyear,governor,murder,rape,robbery,assault,burglary,larceny,auto,rincpc,econgrow,unemp,citypop,term2,term3,term4,a0_5,a5_9,a10_14,a15_19,a20_24,a25_29,citybla,cityfemh,sta_educ,sta_welf,price,termlim,mayor,web,total_crime,murder_level,rape_level,robbery_level,assault_level,burglary_level,larceny_level,auto_level,total_crime_level
34,27.0,46.0,1973,575.0,125.0,1.0,0.0,21262.0,154.0,817.0,1046.0,5000.0,10727.0,3481.0,11.77927398681641,0.09735107421875,0.02058999240398407,376000.0,0.0,0.0,1.0,0.08815169334411621,0.1010851263999939,0.09063959121704102,0.08736652135848999,0.07758265733718872,0.07046312093734741,10.31999969482422,11.72999572753906,677.927734375,146.3963623046875,0.4440000057220459,0.0,0,0,21262.0,0,0,0,0,0,0,1,0
34,27.0,46.0,1974,588.0,122.0,0.0,1.0,24127.0,187.0,1233.0,1061.0,6106.0,12638.0,2866.0,10.96348571777344,-0.07177138328552246,0.02799999713897705,376000.0,0.0,0.0,1.0,0.08705878257751465,0.09784018993377686,0.08965754508972168,0.08870935440063477,0.08035117387771606,0.07388937473297119,10.55999755859375,11.73999786376953,675.4560546875,144.01611328125,0.492999792098999,0.0,0,0,24127.0,0,0,1,0,0,0,1,0
34,27.0,46.0,1975,571.0,125.0,0.0,0.0,23771.0,178.0,1211.0,1115.0,5225.0,13872.0,2134.0,11.29181671142578,0.02950811386108398,0.04148998856544495,391389.0,0.0,0.0,1.0,0.08597636222839355,0.09462642669677734,0.08868497610092163,0.09003931283950806,0.08309304714202881,0.0772826075553894,10.79999542236328,11.75,754.646484375,165.427490234375,0.5379996299743652,1.0,0,0,23771.0,0,0,1,0,0,1,0,0
34,27.0,46.0,1976,544.0,131.0,0.0,0.0,22412.0,193.0,788.0,1008.0,4323.0,13983.0,2098.0,11.19859313964844,-0.008290529251098633,0.03338000178337097,388592.0,0.0,0.0,1.0,0.08490431308746338,0.09144347906112671,0.08772170543670654,0.09135651588439941,0.08580869436264038,0.08064347505569458,11.03999328613281,11.75999450683594,766.25634765625,147.6273193359375,0.5689997673034668,1.0,1,0,22412.0,0,0,0,0,0,1,0,0
34,27.0,46.0,1977,534.0,127.0,1.0,0.0,22020.0,172.0,809.0,906.0,4930.0,12895.0,2277.0,11.47689056396484,0.02454781532287598,0.037229984998703,367281.0,0.0,0.0,1.0,0.0838424563407898,0.0882907509803772,0.08676761388778687,0.09266114234924316,0.08849847316741943,0.0839722752571106,11.27999877929688,11.76999664306641,806.9306640625,150.1649169921875,0.6059999465942383,1.0,0,0,22020.0,0,0,0,0,0,0,0,0
34,27.0,46.0,1978,550.0,127.0,0.0,1.0,21459.0,162.0,878.0,792.0,5048.0,12811.0,1744.0,12.20552062988281,0.06155228614807129,0.03016999363899231,364446.0,0.0,0.0,1.0,0.08279067277908325,0.08516794443130493,0.08582252264022827,0.09395349025726318,0.09116274118423462,0.08726954460144043,11.51999664306641,11.77999877929688,773.005859375,165.6441650390625,0.6519999504089355,1.0,0,0,21459.0,0,0,0,0,0,0,0,0
34,27.0,46.0,1979,553.0,155.0,0.0,0.0,24352.0,193.0,954.0,830.0,5140.0,14875.0,2320.0,12.19558715820312,-0.0008137226104736328,0.03158000111579895,370326.0,0.0,0.0,1.0,0.08174878358840942,0.08207458257675171,0.08488637208938599,0.09523355960845947,0.09380191564559937,0.09053575992584229,11.75999450683594,11.78999328613281,789.255859375,155.6473388671875,0.7259998321533203,0.0,0,0,24352.0,0,0,0,0,0,1,0,0
34,27.0,46.0,1980,540.0,147.0,0.0,0.0,24430.0,213.0,1053.0,679.0,5351.0,15138.0,1958.0,11.25485229492188,-0.08027505874633789,0.0404999852180481,312919.0,0.0,0.0,1.0,0.08071666955947876,0.07901018857955933,0.08395904302597046,0.09650170803070068,0.09641635417938232,0.09377127885818481,12.0,11.79999542236328,752.4267578125,148.0582275390625,0.8239998817443848,0.0,1,0,24430.0,0,1,0,0,0,1,0,0
34,27.0,46.0,1981,556.0,136.0,1.0,0.0,24351.0,186.0,899.0,470.0,5933.0,15239.0,1596.0,11.71726989746094,0.04026436805725098,0.04132997989654541,322883.0,0.0,0.0,1.0,0.08088088035583496,0.08088088035583496,0.08291691541671753,0.09380114078521729,0.09404712915420532,0.09363144636154175,12.10999298095703,11.94999694824219,746.974609375,155.115478515625,0.9089999198913574,0.0,0,0,24351.0,0,0,0,0,0,1,0,0
34,27.0,46.0,1982,572.0,159.0,0.0,1.0,24377.0,175.0,743.0,1512.0,5352.0,15345.0,1230.0,11.45388031005859,-0.0227348804473877,0.06082999706268311,324936.0,0.0,0.0,1.0,0.08104318380355835,0.082730233669281,0.08188670873641968,0.09113144874572754,0.09170502424240112,0.09349322319030762,12.21999359130859,12.09999847412109,746.244140625,162.9354248046875,0.9649996757507324,0.0,0,0,24377.0,0,0,0,1,0,1,0,0
34,27.0,46.0,1983,544.0,158.0,0.0,0.0,24259.0,157.0,622.0,1584.0,5393.0,15246.0,1230.0,11.30416107177734,-0.01315808296203613,0.05691999197006226,327276.0,0.0,0.0,1.0,0.08120369911193848,0.08455848693847656,0.0808681845664978,0.08849203586578369,0.08938950300216675,0.09335654973983765,12.32999420166016,12.25,758.8271484375,185.463134765625,0.995999813079834,0.0,0,0,24259.0,0,0,0,1,0,1,0,0
34,27.0,46.0,1984,578.0,163.0,0.0,0.0,21867.0,202.0,530.0,1654.0,4045.0,14365.0,1047.0,11.86044311523438,0.04803776741027832,0.04399999976158142,357790.0,0.0,0.0,1.0,0.08136236667633057,0.08636617660522461,0.07986122369766235,0.08588248491287231,0.087100088596344,0.09322142601013184,12.43999481201172,12.39999389648438,784.36279296875,187.095703125,1.038999557495117,0.0,1,0,21867.0,0,1,0,1,0,1,0,0
34,27.0,46.0,1985,574.0,164.0,1.0,0.0,22720.0,214.0,591.0,1669.0,4751.0,14279.0,1192.0,12.05110931396484,0.01594853401184082,0.05466997623443604,362883.0,0.0,0.0,1.0,0.0815192461013794,0.08815354108810425,0.07886552810668945,0.08330219984054565,0.08483642339706421,0.09308785200119019,12.54999542236328,12.54999542236328,825.1396484375,194.5592041015625,1.07599925994873,0.0,0,0,22720.0,0,1,0,1,0,1,0,0
34,27.0,46.0,1986,581.0,169.0,0.0,1.0,22511.0,225.0,627.0,1844.0,4643.0,13927.0,1215.0,12.3211669921875,0.02216148376464844,0.05049997568130493,332368.0,0.0,0.0,1.0,0.08167433738708496,0.0899209976196289,0.07788091897964478,0.08075076341629028,0.08259797096252441,0.09295570850372314,12.65999603271484,12.69999694824219,842.17919921875,214.1134033203125,1.095999717712402,0.0,0,0,22511.0,0,1,0,1,0,1,0,0
34,27.0,46.0,1987,587.0,161.0,0.0,0.0,24383.0,189.0,570.0,1749.0,5338.0,15292.0,1217.0,12.33098602294922,0.0007965564727783203,0.04932999610900879,374934.0,0.0,0.0,1.0,0.08182775974273682,0.09166878461837769,0.07690727710723877,0.07822763919830322,0.08038443326950073,0.09282505512237549,12.76999664306641,12.84999847412109,868.68408203125,229.1824951171875,1.13599967956543,0.0,0,0,24383.0,0,0,0,1,0,1,0,0
34,27.0,46.0,1988,603.0,147.0,0.0,0.0,23944.0,216.0,710.0,1820.0,4580.0,15185.0,1405.0,12.40883636474609,0.006294012069702148,0.03549998998641968,377958.0,0.0,0.0,1.0,0.08197945356369019,0.09339725971221924,0.07594436407089233,0.07573235034942627,0.07819533348083496,0.09269589185714722,12.87999725341797,13.0,856.38232421875,230.4427490234375,1.182999610900879,0.0,1,0,23944.0,0,1,0,1,0,1,0,0
34,27.0,46.0,1989,631.0,148.0,1.0,0.0,23345.0,188.0,639.0,1901.0,4760.0,14368.0,1466.0,12.64919281005859,0.01918435096740723,0.03091999888420105,355110.0,0.0,0.0,1.0,0.08212953805923462,0.09510672092437744,0.07499206066131592,0.073264479637146,0.07603025436401367,0.09256809949874878,12.98999786376953,13.14999389648438,902.4189453125,239.51611328125,1.239999771118164,0.0,0,0,23345.0,0,0,0,1,0,1,0,0
34,27.0,46.0,1990,606.0,149.0,0.0,1.0,23673.0,217.0,604.0,2307.0,4190.0,14997.0,1347.0,13.17948913574219,0.04106855392456055,0.02141998708248138,335795.0,0.0,0.0,1.0,0.08227795362472534,0.09679758548736572,0.07405012845993042,0.0708235502243042,0.07388883829116821,0.09244167804718018,13.09999847412109,13.29999542236328,951.03271484375,255.5469970703125,1.306999206542969,0.0,0,0,23673.0,0,1,0,2,0,1,0,0
35,38.0,23.0,1970,7780.0,883.0,0.0,1.0,63893.0,452.0,6377.0,3947.0,15163.0,23422.0,14180.0,10.41752624511719,0.0103147029876709,0.04449999332427979,1949000.0,0.0,0.0,1.0,0.08199942111968994,0.09587305784225464,0.1010498404502869,0.08966100215911865,0.07744389772415161,0.06481266021728516,33.5,18.89999389648438,623.7109375,177.8349609375,0.3880000114440918,1.0,0,0,63893.0,3,2,3,3,2,2,3,3
35,38.0,23.0,1971,7556.0,946.0,1.0,0.0,83109.0,546.0,9243.0,4970.0,20914.0,29156.0,17845.0,10.50122833251953,0.00800323486328125,0.05424997210502625,1920000.0,0.0,0.0,1.0,0.08033835887908936,0.09316426515579224,0.09909987449645996,0.08998888731002808,0.07878178358078003,0.0665162205696106,33.92999267578125,18.86000061035156,669.1357421875,217.283935546875,0.4049999713897705,0.0,1,0,83109.0,3,3,3,3,3,2,3,3
35,38.0,23.0,1972,8183.0,938.0,0.0,0.0,75268.0,588.0,9710.0,4603.0,21182.0,22732.0,16040.0,11.06937408447266,0.05268955230712891,0.0545799732208252,1951890.0,0.0,0.0,1.0,0.0786697268486023,0.09044313430786133,0.0971410870552063,0.09031832218170166,0.08012580871582031,0.06822752952575684,34.3599853515625,18.81999206542969,727.2724609375,229.6650390625,0.4179999828338623,0.0,0,0,75268.0,3,3,3,3,3,2,3,3
35,38.0,23.0,1973,8026.0,928.0,0.0,0.0,72263.0,694.0,8481.0,4983.0,18790.0,21490.0,17395.0,11.5,0.03816461563110352,0.04817000031471252,1932547.0,0.0,0.0,1.0,0.07699346542358398,0.08770960569381714,0.09517335891723633,0.09064924716949463,0.08147585391998291,0.06994664669036865,34.78997802734375,18.77999877929688,750.0,259.0087890625,0.4440000057220459,0.0,0,0,72263.0,3,3,3,3,3,2,3,3
35,38.0,23.0,1974,8245.0,1002.0,0.0,1.0,81706.0,796.0,10069.0,5237.0,21295.0,27061.0,16804.0,11.44015502929688,-0.005217075347900391,0.05124998092651367,1899898.0,0.0,0.0,1.0,0.07530957460403442,0.08496356010437012,0.09319663047790527,0.09098160266876221,0.08283215761184692,0.07167363166809082,35.22000122070312,18.739990234375,693.7119140625,263.691650390625,0.492999792098999,0.0,0,0,81706.0,3,3,3,3,3,2,3,3
35,38.0,23.0,1975,8085.0,942.0,1.0,0.0,84195.0,716.0,10405.0,4776.0,22480.0,29656.0,15728.0,11.34014892578125,-0.008780479431152344,0.08324998617172241,1883253.0,0.0,0.0,1.0,0.07361793518066406,0.08220493793487549,0.09121084213256836,0.09131556749343872,0.0841946005821228,0.07340848445892334,35.64999389648438,18.69999694824219,706.3193359375,267.657958984375,0.5379996299743652,1.0,1,0,84195.0,3,3,3,3,3,3,3,3
35,38.0,23.0,1976,8154.0,878.0,0.0,0.0,77011.0,764.0,7786.0,4225.0,20048.0,30242.0,13608.0,11.77503967285156,0.03763294219970703,0.0793299674987793,1916665.0,0.0,0.0,1.0,0.0719185471534729,0.07943367958068848,0.08921593427658081,0.09165102243423462,0.08556336164474487,0.07515132427215576,36.07998657226562,18.65998840332031,717.04736328125,302.28466796875,0.5689997673034668,1.0,0,0,77011.0,3,3,3,3,3,3,3,3
35,38.0,23.0,1977,8188.0,1064.0,0.0,0.0,71827.0,771.0,6999.0,3954.0,19108.0,28301.0,12371.0,12.10890960693359,0.02795934677124023,0.07707995176315308,1897706.0,0.0,0.0,1.0,0.07021135091781616,0.07664966583251953,0.08721190690994263,0.09198802709579468,0.08693838119506836,0.07690215110778809,36.50997924804688,18.6199951171875,686.46826171875,331.68310546875,0.6059999465942383,1.0,0,0,71827.0,3,3,3,3,3,2,3,3
35,38.0,23.0,1978,8209.0,1046.0,0.0,1.0,72948.0,724.0,7069.0,4224.0,19154.0,29690.0,11736.0,12.43711090087891,0.02674341201782227,0.0694199800491333,1885533.0,0.0,0.0,1.0,0.06849628686904907,0.07385283708572388,0.08519864082336426,0.09232664108276367,0.08831971883773804,0.07866108417510986,36.93997192382812,18.57998657226562,664.1103515625,372.69921875,0.6519999504089355,1.0,0,0,72948.0,3,3,3,3,3,3,3,3
35,38.0,23.0,1979,7903.0,845.0,1.0,0.0,82586.0,838.0,8838.0,4476.0,20965.0,33863.0,13221.0,12.38980865478516,-0.003810882568359375,0.06907999515533447,1757368.0,0.0,0.0,1.0,0.06677329540252686,0.07104307413101196,0.08317601680755615,0.09266674518585205,0.08970749378204346,0.0804281234741211,37.3699951171875,18.53999328613281,657.0244140625,309.917236328125,0.7259998321533203,0.0,1,0,82586.0,3,3,3,3,3,3,3,3
35,38.0,23.0,1980,7454.0,863.0,0.0,0.0,101144.0,937.0,10883.0,5043.0,24940.0,40910.0,17995.0,12.00363922119141,-0.03166437149047852,0.07817000150680542,1681175.0,0.0,0.0,1.0,0.06504237651824951,0.06822031736373901,0.08114403486251831,0.09300845861434937,0.09110164642333984,0.08220338821411133,37.79998779296875,18.5,626.21337890625,286.40771484375,0.8239998817443848,0.0,0,0,101144.0,3,3,3,3,3,3,3,3
35,38.0,23.0,1981,7472.0,877.0,0.0,0.0,100592.0,936.0,10816.0,5502.0,26676.0,39731.0,16569.0,11.95498657226562,-0.004061222076416016,0.08357995748519897,1686834.0,0.0,0.0,1.0,0.06600624322891235,0.06824517250061035,0.07939755916595459,0.09040212631225586,0.08951503038406372,0.08258700370788574,38.00997924804688,18.67999267578125,612.76123046875,287.128662109375,0.9089999198913574,0.0,0,0,100592.0,3,3,3,3,3,3,3,3
35,38.0,23.0,1982,7377.0,904.0,0.0,1.0,94641.0,839.0,10604.0,5734.0,23127.0,40099.0,13906.0,11.85085296630859,-0.008748769760131836,0.1091699600219727,1687556.0,0.0,0.0,1.0,0.06696426868438721,0.06826984882354736,0.07766169309616089,0.08781164884567261,0.08793801069259644,0.08296829462051392,38.22000122070312,18.86000061035156,585.6640625,297.75830078125,0.9649996757507324,0.0,0,0,94641.0,3,3,3,3,3,3,3,3
35,38.0,23.0,1983,7218.0,824.0,1.0,0.0,89764.0,822.0,10744.0,5096.0,21254.0,37611.0,13926.0,11.99999237060547,0.01250648498535156,0.1184199452400208,1692364.0,0.0,0.0,1.0,0.06791651248931885,0.06829440593719482,0.07593631744384766,0.08523678779602051,0.08637046813964844,0.08334732055664062,38.42999267578125,19.03999328613281,594.00341796875,294.132080078125,0.995999813079834,1.0,1,0,89764.0,3,3,3,3,3,3,3,3
35,38.0,23.0,1984,7075.0,819.0,0.0,0.0,82529.0,937.0,9365.0,5034.0,18318.0,35286.0,13325.0,12.25215911865234,0.02079629898071289,0.09099996089935303,1667545.0,0.0,0.0,1.0,0.06886297464370728,0.06831878423690796,0.07422131299972534,0.08267748355865479,0.0848124623298645,0.0837240219116211,38.63998413085938,19.21998596191406,608.8642578125,290.470947265625,1.038999557495117,1.0,0,0,82529.0,3,3,3,3,3,3,3,3
35,38.0,23.0,1985,6966.0,798.0,0.0,0.0,83667.0,1021.0,9381.0,5534.0,19007.0,35815.0,12636.0,12.59664916992188,0.02772831916809082,0.08016997575759888,1640102.0,0.0,0.0,1.0,0.06980383396148682,0.06834304332733154,0.07251667976379395,0.08013355731964111,0.08326375484466553,0.0840984582901001,38.8499755859375,19.39999389648438,653.90966796875,304.672119140625,1.07599925994873,1.0,0,0,83667.0,3,3,3,3,3,3,3,3
