year,sworn,civil,murder,rape,robbery,assault,burglary,larceny,auto,citypop,term2,term4,a0_5,a5_9,a10_14,a15_19,citybla,cityfemh,price,total_crime,murder_level,rape_level,robbery_level,assault_level,burglary_level,larceny_level,auto_level,total_crime_level
1975,1647.0,289.0,39802.0,237.0,3596.0,2002.0,9689.0,17989.0,6131.0,571934.0,0.0,1.0,0.08745825290679932,0.091896653175354,0.0959969162940979,0.09506696462631226,50.14999389648438,20.39999389648438,0.5379996299743652,39802.0,1,1,2,1,1,1,2,1
1976,1510.0,503.0,37681.0,264.0,2600.0,1776.0,8400.0,19440.0,5031.0,557327.0,0.0,1.0,0.08643412590026855,0.08927077054977417,0.0935591459274292,0.09484398365020752,51.17999267578125,20.21998596191406,0.5689997673034668,37681.0,1,1,2,1,1,1,2,1
1977,1600.0,439.0,39897.0,360.0,3279.0,2135.0,8692.0,19754.0,5504.0,587776.0,0.0,1.0,0.08543664216995239,0.08671301603317261,0.09118455648422241,0.09462672472000122,52.20999145507812,20.03999328613281,0.6059999465942383,39897.0,1,2,2,2,1,1,2,1
1978,1532.0,366.0,45823.0,406.0,4164.0,2849.0,10514.0,22183.0,5491.0,559160.0,0.0,1.0,0.0844646692276001,0.0842207670211792,0.0888708233833313,0.09441506862640381,53.239990234375,19.86000061035156,0.6519999504089355,45823.0,2,2,2,2,1,2,2,2
1979,1482.0,502.0,52479.0,423.0,5276.0,2953.0,12810.0,24687.0,6088.0,567656.0,0.0,1.0,0.08351725339889526,0.08179152011871338,0.08661556243896484,0.09420877695083618,54.26998901367188,19.67999267578125,0.7259998321533203,52479.0,2,2,3,2,2,2,2,2
1980,1397.0,601.0,53575.0,588.0,4647.0,2719.0,14154.0,25668.0,5581.0,557761.0,0.0,1.0,0.08259350061416626,0.0794229507446289,0.08441656827926636,0.09400761127471924,55.29998779296875,19.5,0.8239998817443848,53575.0,2,3,3,2,2,2,2,2
1982,1355.0,503.0,49483.0,488.0,5106.0,2777.0,12320.0,23613.0,4946.0,579338.0,0.0,1.0,0.08194708824157715,0.079559326171875,0.08291810750961304,0.09030419588088989,56.6199951171875,20.41999816894531,0.9649996757507324,49483.0,2,2,3,2,2,2,2,2
1983,1416.0,399.0,44523.0,536.0,4550.0,2752.0,10782.0,20847.0,4845.0,589508.0,0.0,1.0,0.08162188529968262,0.07962799072265625,0.0821642279624939,0.08844101428985596,57.27999877929688,20.87998962402344,0.995999813079834,44523.0,2,3,3,2,1,2,2,2
1984,1323.0,505.0,46980.0,555.0,4705.0,3213.0,10821.0,22238.0,5234.0,576071.0,0.0,1.0,0.08129531145095825,0.0796968936920166,0.08140718936920166,0.08657008409500122,57.93997192382812,21.33999633789062,1.038999557495117,46980.0,2,3,3,2,1,2,2,2
1985,1378.0,386.0,48732.0,451.0,4142.0,3477.0,10383.0,23433.0,6694.0,561364.0,0.0,1.0,0.08096742630004883,0.07976609468460083,0.0806470513343811,0.08469146490097046,58.5999755859375,21.79998779296875,1.07599925994873,48732.0,2,2,2,2,1,2,2,2
1986,1305.0,221.0,56889.0,456.0,5165.0,3347.0,11561.0,26697.0,9466.0,563927.0,0.0,1.0,0.08063817024230957,0.07983559370040894,0.07988375425338745,0.08280497789382935,59.25997924804688,22.25999450683594,1.095999717712402,56889.0,2,2,3,2,2,2,3,2
1987,1333.0,403.0,51001.0,359.0,3786.0,3328.0,11999.0,22365.0,8959.0,549536.0,0.0,1.0,0.0803074836730957,0.07990539073944092,0.0791172981262207,0.08091068267822266,59.91998291015625,22.71998596191406,1.13599967956543,51001.0,2,2,2,2,2,2,3,2
1988,1360.0,276.0,52460.0,403.0,4729.0,3563.0,12322.0,21534.0,9681.0,538047.0,0.0,1.0,0.07997548580169678,0.07997548580169678,0.07834762334823608,0.07900840044021606,60.57998657226562,23.17999267578125,1.182999610900879,52460.0,2,2,3,2,2,2,3,2
1970,31671.0,2984.0,578149.0,2141.0,74102.0,31255.0,181694.0,193005.0,94835.0,7896000.0,0.0,1.0,0.07787197828292847,0.0821676254272461,0.08227777481079102,0.07765167951583862,21.09999084472656,17.19999694824219,0.3880000114440918,578149.0,3,3,3,3,3,3,3,3
1971,30685.0,2330.0,591927.0,2415.0,88994.0,33865.0,181331.0,187232.0,96624.0,7813000.0,0.0,1.0,0.07673758268356323,0.08041554689407349,0.08144897222518921,0.07794874906539917,21.50999450683594,17.13999938964844,0.4049999713897705,591927.0,3,3,3,3,3,3,3,3
1972,30828.0,1984.0,478869.0,3271.0,78202.0,37130.0,148046.0,134664.0,75865.0,7889920.0,0.0,1.0,0.07558292150497437,0.07863223552703857,0.08060532808303833,0.07825112342834473,21.91999816894531,17.07998657226562,0.4179999828338623,478869.0,3,3,3,3,3,3,3,3
1973,29861.0,4427.0,475855.0,3735.0,72750.0,38148.0,149311.0,127500.0,82731.0,7843200.0,0.0,1.0,0.07440751791000366,0.07681691646575928,0.07974660396575928,0.07855886220932007,22.32998657226562,17.01998901367188,0.4440000057220459,475855.0,3,3,3,3,3,3,3,3
1974,31033.0,4620.0,519825.0,4054.0,77940.0,41068.0,158321.0,163157.0,73731.0,7716600.0,0.0,1.0,0.07321077585220337,0.07496857643127441,0.07887226343154907,0.07887226343154907,22.739990234375,16.95999145507812,0.492999792098999,519825.0,3,3,3,3,3,3,3,3
1976,25789.0,3644.0,658147.0,3400.0,86183.0,42948.0,195243.0,232069.0,96682.0,7530492.0,0.0,1.0,0.07075095176696777,0.07116949558258057,0.0770750641822815,0.07951635122299194,23.55999755859375,16.83999633789062,0.5689997673034668,658147.0,3,3,3,3,3,3,3,3
1977,24895.0,4672.0,610077.0,3899.0,74404.0,42056.0,178907.0,214838.0,94420.0,7481612.0,0.0,1.0,0.06948661804199219,0.06921672821044922,0.07615131139755249,0.07984745502471924,23.96998596191406,16.77999877929688,0.6059999465942383,610077.0,3,3,3,3,3,3,3,3
1978,24408.0,5035.0,570354.0,3882.0,74029.0,43271.0,164447.0,200110.0,83112.0,7242884.0,0.0,1.0,0.06819850206375122,0.06722724437713623,0.07521021366119385,0.08018475770950317,24.37998962402344,16.71998596191406,0.6519999504089355,570354.0,3,3,3,3,3,3,3,3
1979,23310.0,4702.0,621110.0,3875.0,82572.0,44203.0,178162.0,220817.0,89748.0,7109420.0,0.0,1.0,0.06688582897186279,0.06519997119903564,0.07425117492675781,0.08052843809127808,24.78999328613281,16.65998840332031,0.7259998321533203,621110.0,3,3,3,3,3,3,3,3
1980,22590.0,4349.0,710151.0,3711.0,100550.0,43476.0,210703.0,249421.0,100478.0,7035348.0,0.0,1.0,0.06554800271987915,0.06313371658325195,0.07327377796173096,0.08087879419326782,25.19999694824219,16.59999084472656,0.8239998817443848,710151.0,3,3,3,3,3,3,3,3
1981,22467.0,5364.0,725846.0,3862.0,107475.0,43783.0,205825.0,258369.0,104706.0,7070428.0,0.0,1.0,0.06622546911239624,0.06303691864013672,0.07202500104904175,0.07926839590072632,25.54998779296875,16.739990234375,0.9089999198913574,725846.0,3,3,3,3,3,3,3,3
1982,22855.0,5876.0,688567.0,3547.0,95944.0,42784.0,172794.0,264400.0,107430.0,7096556.0,0.0,1.0,0.06689852476119995,0.06294071674346924,0.07078433036804199,0.07766848802566528,25.89999389648438,16.87998962402344,0.9649996757507324,688567.0,3,3,3,3,3,3,3,3
1983,23339.0,5950.0,622877.0,3662.0,84043.0,43326.0,143698.0,253801.0,92725.0,7100060.0,0.0,1.0,0.06756722927093506,0.06284517049789429,0.06955164670944214,0.07607889175415039,26.25,17.01998901367188,0.995999813079834,622877.0,3,3,3,3,3,3,3,3
1984,25044.0,7970.0,600216.0,3829.0,79541.0,47472.0,128687.0,250759.0,88478.0,7167120.0,0.0,1.0,0.06823164224624634,0.06275022029876709,0.06832695007324219,0.07449948787689209,26.59999084472656,17.15998840332031,1.038999557495117,600216.0,3,3,3,3,3,3,3,3
1985,26073.0,6255.0,601467.0,3880.0,79532.0,50356.0,124838.0,262051.0,79426.0,7183984.0,0.0,1.0,0.06889176368713379,0.06265586614608765,0.06711006164550781,0.07293027639389038,26.94999694824219,17.29998779296875,1.07599925994873,601467.0,3,3,3,3,3,3,3,3
1986,27425.0,6428.0,635199.0,3536.0,80827.0,57306.0,124382.0,281713.0,85853.0,7179608.0,0.0,1.0,0.06954771280288696,0.06256210803985596,0.06590098142623901,0.07137101888656616,27.29998779296875,17.43998718261719,1.095999717712402,635199.0,3,3,3,3,3,3,3,3
1987,27523.0,7241.0,656505.0,3507.0,78890.0,64244.0,123412.0,289126.0,95654.0,7284316.0,0.0,1.0,0.07019942998886108,0.0624690055847168,0.06469959020614624,0.06982177495956421,27.64999389648438,17.57998657226562,1.13599967956543,656505.0,3,3,3,3,3,3,3,3
1988,26723.0,9304.0,718483.0,3412.0,86578.0,71030.0,127148.0,308479.0,119940.0,7346352.0,0.0,1.0,0.0708470344543457,0.062376469373703,0.06350582838058472,0.06828230619430542,28.0,17.71998596191406,1.182999610900879,718483.0,3,3,3,3,3,3,3,3
1989,25858.0,9747.0,712419.0,3254.0,93377.0,70951.0,121322.0,287749.0,133861.0,7369452.0,0.0,1.0,0.07149052619934082,0.06228449940681458,0.06231966614723206,0.06675267219543457,28.34999084472656,17.86000061035156,1.239999771118164,712419.0,3,3,3,3,3,3,3,3
1990,26844.0,9563.0,710222.0,3126.0,100280.0,68891.0,119937.0,268620.0,147123.0,7322564.0,0.0,1.0,0.07212996482849121,0.0621931254863739,0.06114098429679871,0.06523263454437256,28.69999694824219,18.0,1.306999206542969,710222.0,3,3,3,3,3,3,3,3
1970,706.0,233.0,42872.0,212.0,2497.0,1088.0,13787.0,20226.0,4993.0,361561.0,0.0,1.0,0.07936990261077881,0.09524393081665039,0.09797132015228271,0.09040200710296631,34.5,17.5,0.3880000114440918,42872.0,2,1,2,0,2,2,2,2
1971,726.0,266.0,42699.0,220.0,2932.0,1224.0,14311.0,18528.0,5395.0,356666.5,0.0,1.0,0.0779767632484436,0.09205156564712524,0.09556114673614502,0.09013724327087402,35.739990234375,17.3699951171875,0.4049999713897705,42699.0,2,1,2,1,2,1,2,2
1972,699.0,251.0,41836.0,261.0,2907.0,1646.0,13080.0,18445.0,5419.0,362100.0,0.0,1.0,0.07660692930221558,0.0889127254486084,0.09319138526916504,0.08987689018249512,36.97998046875,17.239990234375,0.4179999828338623,41836.0,2,1,2,1,2,1,2,2
1973,722.0,280.0,41595.0,220.0,2879.0,1853.0,14734.0,17063.0,4746.0,346100.0,0.0,1.0,0.07525980472564697,0.08582592010498047,0.09086096286773682,0.08962088823318481,38.22000122070312,17.11000061035156,0.4440000057220459,41595.0,2,1,2,1,2,1,2,2
1974,682.0,253.0,40507.0,246.0,2883.0,2175.0,14144.0,16702.0,4279.0,342400.0,0.0,1.0,0.07393485307693481,0.08278995752334595,0.08856892585754395,0.08936911821365356,39.45999145507812,16.97999572753906,0.4930000305175781,40507.0,2,1,2,2,2,1,2,2
1975,697.0,326.0,42883.0,316.0,3185.0,2288.0,13986.0,18922.0,4075.0,337748.0,0.0,1.0,0.0726315975189209,0.07980364561080933,0.08631432056427002,0.08912140130996704,40.69998168945312,16.84999084472656,0.5379996299743652,42883.0,2,1,2,2,2,1,1,2
1976,678.0,286.0,41215.0,309.0,2894.0,2213.0,13200.0,18911.0,3590.0,333100.0,0.0,1.0,0.0713493824005127,0.07686567306518555,0.08409619331359863,0.08887773752212524,41.93997192382812,16.71998596191406,0.5689997673034668,41215.0,2,1,2,2,2,1,1,2
1977,656.0,375.0,39713.0,366.0,3037.0,2267.0,12750.0,17498.0,3701.0,339264.0,0.0,1.0,0.07008785009384155,0.0739748477935791,0.0819137692451477,0.08863794803619385,43.17999267578125,16.58999633789062,0.6059999465942383,39713.0,1,2,2,2,2,1,1,1
1978,642.0,233.0,38854.0,351.0,2774.0,2152.0,12501.0,17790.0,3189.0,327756.0,0.0,1.0,0.06884640455245972,0.07113015651702881,0.07976609468460083,0.08840203285217285,44.41998291015625,16.45999145507812,0.6519999504089355,38854.0,1,2,2,2,2,1,1,1
1979,621.0,296.0,41269.0,373.0,3072.0,2513.0,12351.0,18924.0,3930.0,344686.0,0.0,1.0,0.06762456893920898,0.06833046674728394,0.07765239477157593,0.08816981315612793,45.65997314453125,16.32998657226562,0.7259998321533203,41269.0,2,2,2,2,2,1,1,2
1980,602.0,271.0,44152.0,434.0,4248.0,2722.0,13124.0,20093.0,3399.0,338721.0,0.0,1.0,0.06642186641693115,0.06557464599609375,0.07557183504104614,0.0879412293434143,46.89999389648438,16.19999694824219,0.8239998817443848,44152.0,2,2,2,2,2,2,1,2
1981,601.0,247.0,44678.0,430.0,3836.0,2652.0,14171.0,20070.0,3401.0,347736.0,0.0,1.0,0.06768167018890381,0.06600099802017212,0.07395511865615845,0.0851706862449646,46.5999755859375,16.42999267578125,0.9089999198913574,44678.0,2,2,2,2,2,2,1,2
