,BTCUSDT.csv,ETHUSDT.csv,LTCUSDT.csv,XRPUSDT.csv,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2019-01-06 15:21:00,0.0,10.0,0.0,0.0,98657.67917499998,1535.95,2.750000000000057,100193.62917499998,0.0
2019-01-06 15:22:00,0.0,10.0,0.0,0.0,98657.67917499998,1538.175,2.224999999999966,100195.85417499999,0.0
2019-01-06 15:23:00,0.0,10.0,0.0,0.0,98657.67917499998,1537.5749999999998,-0.6000000000000227,100195.25417499998,0.0
2019-01-06 15:24:00,0.0,10.0,0.0,0.0,98657.67917499997,1535.8500000000001,-1.7249999999998522,100193.52917499997,0.0
2019-01-06 15:25:00,0.0,10.0,0.0,0.0,98657.67917499997,1534.6000000000001,-1.25,100192.27917499997,0.0
2019-01-06 15:26:00,0.0,10.0,0.0,0.0,98657.67917499997,1534.0500000000002,-0.549999999999784,100191.72917499997,0.0
2019-01-06 15:27:00,0.0,10.0,0.0,0.0,98657.67917499997,1534.1250000000002,0.07499999999993179,100191.80417499997,0.0
2019-01-06 15:28:00,0.0,10.0,0.0,0.0,98657.67917499997,1534.6499999999996,0.5249999999995225,100192.32917499996,0.0
2019-01-06 15:29:00,0.0,10.0,0.0,0.0,98657.67917499997,1535.3999999999999,0.7500000000001705,100193.07917499996,0.0
2019-01-06 15:30:00,0.0,10.0,0.0,0.0,98657.67917499995,1535.4750000000001,0.075000000000216,100193.15417499996,0.0
2019-01-06 15:31:00,0.0,10.0,0.0,0.0,98657.67917499995,1535.05,-0.4250000000001819,100192.72917499996,0.0
2019-01-06 15:32:00,0.0,10.0,0.0,0.0,98657.67917499995,1535.225,0.17499999999984084,100192.90417499996,0.0
2019-01-06 15:33:00,0.0,10.0,0.0,0.0,98657.67917499997,1533.8999999999999,-1.3249999999999318,100191.57917499996,0.0
2019-01-06 15:34:00,0.0,10.0,0.0,0.0,98657.67917499995,1534.6,0.6999999999999318,100192.27917499996,0.0
2019-01-06 15:35:00,0.0,10.0,0.0,0.0,98657.67917499997,1531.4499999999998,-3.1499999999999773,100189.12917499997,0.0
2019-01-06 15:36:00,0.0,10.0,0.0,0.0,98657.67917499997,1528.625,-2.8249999999997044,100186.30417499997,0.0
2019-01-06 15:37:00,0.0,10.0,0.0,0.0,98657.67917499997,1529.6749999999997,1.0499999999996135,100187.35417499997,0.0
2019-01-06 15:38:00,0.0,10.0,0.0,0.0,98657.67917499998,1532.2749999999999,2.6000000000001933,100189.95417499998,0.0
