ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
HGDP01282,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00618,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00630,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP01406,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP01028,M,Bantu,South Africa,South Africa,Africa,2730.422,-3,37
HGDP01261,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01273,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00609,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00621,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00633,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP01322,M,Lahu,China,China,East Asia,9299.626366,22,100
HGDP01333,M,She,China,China,East Asia,10817.81249,27,119
HGDP01345,F,Naxi,China,China,East Asia,9131.367263,26,100
HGDP00956,F,Yakut,Siberia,Russia,East Asia,9919.809481,63,129.5
HGDP00968,M,Yakut,Siberia,Russia,East Asia,9919.809481,63,129.5
HGDP00757,M,Japanese,Japan,Japan,East Asia,11762.10792,38,138
HGDP00768,M,Japanese,Japan,Japan,East Asia,11762.10792,38,138
HGDP00843,M,Surui,Brazil,South America,America,24367.92263,-11,-62
HGDP01397,M,Adygei,Russia Caucasus,Russia,Europe,4155.030463,44,39
HGDP00882,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP00894,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01038,F,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01050,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP00854,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00866,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00878,M,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP01399,F,Adygei,Russia Caucasus,Russia,Europe,4155.030463,44,39
HGDP00884,F,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP00896,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01040,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01052,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP00856,M,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00868,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00702,F,Colombian,Colombia,South America,America,22857.10218,3,-68
HGDP00970,F,Colombian,Colombia,South America,America,22857.10218,3,-68
HGDP01005,M,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP01017,F,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP00840,F,Surui,Brazil,South America,America,24367.92263,-11,-62
HGDP00852,F,Surui,Brazil,South America,America,24367.92263,-11,-62
HGDP01006,F,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP01018,F,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP00841,F,Surui,Brazil,South America,America,24367.92263,-11,-62
HGDP00996,F,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP01008,F,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP00721,F,Cambodian,Cambodia,Southeast Asia,East Asia,10260.54741,12,105
HGDP00551,M,Papuan,New Guinea,New Guinea,Oceania,14843.12266,-4,143
HGDP00518,M,French,France,Southern Europe,Europe,5857.478333,46,2
HGDP00530,M,French,France,Southern Europe,Europe,5857.478333,46,2
HGDP01359,M,French Basque,France,Southern Europe,Europe,6012.260603,43,0
HGDP01400,F,Adygei,Russia Caucasus,Russia,Europe,4155.030463,44,39
HGDP00885,F,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP00897,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01041,F,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01053,F,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP00857,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00869,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00703,M,Colombian,Colombia,South America,America,22857.10218,3,-68
HGDP00995,F,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP01007,F,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP01019,M,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP00842,M,Surui,Brazil,South America,America,24367.92263,-11,-62
HGDP00997,M,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP01009,M,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP00830,F,Surui,Brazil,South America,America,24367.92263,-11,-62
HGDP00844,M,Surui,Brazil,South America,America,24367.92263,-11,-62
HGDP00346,M,Burusho,Pakistan,Pakistan,Central/South Asia,6475.612264,36.5,74
HGDP00203,M,Sindhi,Pakistan,Pakistan,Central/South Asia,6201.994706,25.5,69
HGDP01364,M,French Basque,France,Southern Europe,Europe,6012.260603,43,0
HGDP01375,M,French Basque,France,Southern Europe,Europe,6012.260603,43,0
HGDP00670,M,Sardinian,Italy,Southern Europe,Europe,5305.809561,40,9
HGDP01069,M,Sardinian,Italy,Southern Europe,Europe,5305.809561,40,9
HGDP01177,F,North Italian,Italy (Bergamo),Southern Europe,Europe,5249.040337,46,10
HGDP00797,F,Orcadian,Orkney Islands,Northern Europe,Europe,6636.685091,59,-3
HGDP00810,M,Orcadian,Orkney Islands,Northern Europe,Europe,6636.685091,59,-3
HGDP01401,F,Adygei,Russia Caucasus,Russia,Europe,4155.030463,44,39
HGDP00886,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP00898,F,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01042,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01054,F,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP00858,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00870,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00704,F,Colombian,Colombia,South America,America,22857.10218,3,-68
HGDP01402,M,Adygei,Russia Caucasus,Russia,Europe,4155.030463,44,39
HGDP00887,M,Russian,Russia,Russia,Europe,6066.983867,61,40
