,V1,V2,ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
HGDP00690,-30273.3180847432,48955.2367221535,HGDP00690,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00466,-118539.627897154,-99261.7490012964,HGDP00466,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00454,-118391.079517157,-97471.4153451569,HGDP00454,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP01086,-117508.659662516,-95757.3239059633,HGDP01086,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00462,-117470.716724005,-98519.8740575798,HGDP00462,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00915,-110052.287671332,-82676.2442386417,HGDP00915,F,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP01286,-111083.0406979,-83875.7061764945,HGDP01286,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00931,-111767.77412559,-86773.3895185158,HGDP00931,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00992,-111976.076142121,-93942.2818166973,HGDP00992,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
HGDP00941,-111674.405917246,-87764.6742461652,HGDP00941,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP01414,-108192.121977405,-83332.3857906627,HGDP01414,F,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP01036,-113001.412215006,-93748.0929818899,HGDP01036,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
HGDP01255,-44929.9150369455,30140.0594898764,HGDP01255,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01267,-47550.381390966,27431.4039541461,HGDP01267,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01279,-48201.1768330684,26752.7422542084,HGDP01279,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00615,-30777.6343790271,45584.5748079523,HGDP00615,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00627,-39603.3245659872,36574.3010268137,HGDP00627,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00638,-39808.1594937964,37696.0011473084,HGDP00638,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00649,-30466.8681330288,49916.4487818869,HGDP00649,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00561,-26722.0183854548,53812.6203073267,HGDP00561,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00573,-27185.1710365826,53883.91362616,HGDP00573,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00585,-24976.09983597,56854.8329534166,HGDP00585,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00599,-24455.1843999259,56357.8430393496,HGDP00599,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00679,-30749.3845105469,49996.9331482568,HGDP00679,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00691,-33064.1630530677,45345.129613785,HGDP00691,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00469,-118843.357684023,-96545.1601384882,HGDP00469,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00455,-118302.542751988,-98117.824500955,HGDP00455,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP01087,-119494.837705719,-97349.800893623,HGDP01087,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
