"","V1","V2","ID","Gender","Population","Geographic.origin","Geographic.area","region","distance","latitude","longtitude"
"HGDP00555",-8.45855141854261,-84.6342748980312,"HGDP00555","M","Papuan","New Guinea","New Guinea","Oceania",14843.12266,-4,143
"HGDP00663",29.3149335337421,-61.3473793842834,"HGDP00663","F","NAN Melanesian","Bougainville","Southern Europe","Oceania",16168.51405,-6,155
"HGDP00522",-72.9784385659612,146.211597755046,"HGDP00522","M","French","France","Southern Europe","Europe",5857.478333,46,2
"HGDP00534",-69.9869976985471,432.122629242955,"HGDP00534","F","French","France","Southern Europe","Europe",5857.478333,46,2
"HGDP01220",112.592089633748,-39.2452268612703,"HGDP01220","M","Daur","China","China","East Asia",10213.23714,48.5,124
"HGDP01362",-91.047469146964,165.989786115189,"HGDP01362","M","French Basque","France","Southern Europe","Europe",6012.260603,43,0
"HGDP01373",-78.9008422108326,395.269279635395,"HGDP01373","F","French Basque","France","Southern Europe","Europe",6012.260603,43,0
"HGDP00668",-113.530693607317,361.487407184187,"HGDP00668","M","Sardinian","Italy","Southern Europe","Europe",5305.809561,40,9
"HGDP01067",-50.8470051084062,710.990239061884,"HGDP01067","M","Sardinian","Italy","Southern Europe","Europe",5305.809561,40,9
"HGDP01079",-113.865050959332,159.138540251354,"HGDP01079","M","Sardinian","Italy","Southern Europe","Europe",5305.809561,40,9
"HGDP01173",-80.7448733783054,389.491852513754,"HGDP01173","M","North Italian","Italy (Bergamo)","Southern Europe","Europe",5249.040337,46,10
"HGDP00795",-68.5636338970134,146.929573691717,"HGDP00795","M","Orcadian","Orkney Islands","Northern Europe","Europe",6636.685091,59,-3
"HGDP00807",-62.3370333086448,150.505968667875,"HGDP00807","M","Orcadian","Orkney Islands","Northern Europe","Europe",6636.685091,59,-3
"HGDP01314",136.740626770662,-276.382163296657,"HGDP01314","F","Dai","China","China","East Asia",9343.955377,21,100
"HGDP01325",113.392049759255,-51.3743339997823,"HGDP01325","F","Lahu","China","China","East Asia",9299.626366,22,100
"HGDP01337",110.691143459272,-39.7779190728164,"HGDP01337","M","Naxi","China","China","East Asia",9131.367263,26,100
"HGDP01349",107.255758283528,-37.0633908113695,"HGDP01349","M","Tu","China","China","East Asia",8868.138507,36,101
"HGDP00948",113.148870670402,4.10422477643827,"HGDP00948","M","Yakut","Siberia","Russia","East Asia",9919.809481,63,129.5
"HGDP00960",172.68777223581,-12.8306761559865,"HGDP00960","M","Yakut","Siberia","Russia","East Asia",9919.809481,63,129.5
"HGDP00749",127.768066171311,-105.418746361767,"HGDP00749","M","Japanese","Japan","Japan","East Asia",11762.10792,38,138
"HGDP00761",228.595801799319,-48.7350312504099,"HGDP00761","F","Japanese","Japan","Japan","East Asia",11762.10792,38,138
"HGDP00771",329.190582553261,-59.8191079894367,"HGDP00771","F","Japanese","Japan","Japan","East Asia",11762.10792,38,138
"HGDP00714",104.838430740757,-41.1381687214623,"HGDP00714","M","Cambodian","Cambodia","Southeast Asia","East Asia",10260.54741,12,105
"HGDP00544",32.0832421639423,-53.2203325686576,"HGDP00544","F","Papuan","New Guinea","New Guinea","Oceania",14843.12266,-4,143
"HGDP00556",8.61717629545344,-66.5326807569221,"HGDP00556","M","Papuan","New Guinea","New Guinea","Oceania",14843.12266,-4,143
"HGDP00664",39.8792695934278,-68.5848264962,"HGDP00664","F","NAN Melanesian","Bougainville","Southern Europe","Oceania",16168.51405,-6,155
"HGDP00511",-51.5338364448547,876.502941871852,"HGDP00511","M","French","France","Southern Europe","Europe",5857.478333,46,2
"HGDP00523",-69.9877132877324,144.778433107202,"HGDP00523","F","French","France","Southern Europe","Europe",5857.478333,46,2
"HGDP00535",-67.6597698996021,333.520103698042,"HGDP00535","F","French","France","Southern Europe","Europe",5857.478333,46,2
"HGDP01363",-86.3874475829181,331.885197458414,"HGDP01363","F","French Basque","France","Southern Europe","Europe",6012.260603,43,0
"HGDP01374",-76.3731322582647,406.554262400726,"HGDP01374","M","French Basque","France","Southern Europe","Europe",6012.260603,43,0
"HGDP00669",-118.435890572195,321.362334170108,"HGDP00669","F","Sardinian","Italy","Southern Europe","Europe",5305.809561,40,9
"HGDP01068",-146.595020405007,342.431015496572,"HGDP01068","F","Sardinian","Italy","Southern Europe","Europe",5305.809561,40,9
"HGDP01147",-94.1834507884081,295.354196917956,"HGDP01147","M","North Italian","Italy (Bergamo)","Southern Europe","Europe",5249.040337,46,10
"HGDP01174",-103.93505346214,191.570979153942,"HGDP01174","M","North Italian","Italy (Bergamo)","Southern Europe","Europe",5249.040337,46,10
"HGDP00796",-47.2239700415307,424.822031327535,"HGDP00796","F","Orcadian","Orkney Islands","Northern Europe","Europe",6636.685091,59,-3
"HGDP00808",-58.8042229018084,204.36697995507,"HGDP00808","M","Orcadian","Orkney Islands","Northern Europe","Europe",6636.685091,59,-3
