,0,1,2,3,4,5,6,7,8,9
48,-0.145095632,-0.182824125,0.357595583,-0.184846836,-0.066204772,-0.104188541,-0.27391812,-0.051823549,0.131027028,-0.091936028
49,0.038590535,-0.134725441,-0.241722959,-0.352875443,-0.180375812,-0.239220073,0.454611836,-0.395030171,0.350852017,0.178819231
50,-0.134711603,0.285324072,0.666759509,-0.151143594,-0.293550176,-0.150407238,-0.250157785,-0.157919549,-0.018635735,-0.152693485
51,0.03342034,0.193238074,-0.040000791,-0.552552271,0.065319144,0.111348322,-0.231256056,0.013198021,0.074963493,-0.193412817
52,0.464399996,0.567080748,-0.32241426,-0.045449043,-0.332418818,0.570016856,-0.231787378,0.090501375,-0.163219993,0.098577676
53,-0.219065267,-0.22050628,0.347981124,0.072619688,-0.112744291,0.046204968,-0.154853642,-0.201480848,0.131862452,-0.068314679
54,0.417370755,-0.104515428,-0.000136505,-0.263070883,-0.102475571,-0.002912994,0.205872853,0.441498492,0.261283524,-0.223305568
55,0.544483931,0.206675575,-0.229257803,-0.095756939,-0.050295213,0.503972255,0.148158302,-0.024138364,-0.339362902,-0.644336331
56,-0.13090174,-0.01493668,0.272966577,-0.386116676,-0.289504881,-0.289103768,-0.243258678,0.43667424,-0.270900176,0.353840441
57,-0.036642492,0.094398554,-0.084063044,-0.177838013,0.111325672,-0.069718583,0.122993186,-0.251495418,-0.115895816,-0.286190842
58,-0.066524806,0.499893686,0.073495937,-0.228019538,-0.445089272,0.034920652,-0.038122283,0.538705318,-0.111943557,-0.189737415
59,0.265066714,0.492670882,-0.150524469,-0.519485799,-0.472417541,0.301425687,-0.301947545,0.619046261,-0.281706217,-0.373811118
60,0.462570599,0.274293047,0.240984061,-0.28823891,-0.530456624,0.056530775,-0.238393207,0.493434026,-0.197676606,-0.102674128
61,-0.127595239,-0.067464724,0.168974182,0.156458579,-0.557338429,0.129756083,-0.242749743,-0.039287009,0.268056343,0.128714909
62,-0.405671958,-0.370169698,0.13437711,0.271617575,0.25414761,0.037845719,-0.377841644,-0.055807768,0.28715908,0.326455619
63,0.139298882,-0.105867142,0.374967899,-0.122112475,0.174779259,0.080474508,0.237773485,-0.025612691,0.047562895,-0.060295125
64,0.029471096,0.298982485,-0.040741737,-0.238468965,0.436277619,-0.147833854,-0.426138404,0.118905456,-0.039938112,-0.007560372
65,-0.233060168,-0.129144081,0.371102948,0.471651442,0.241284181,-0.310562509,0.11902369,-0.257481051,0.266699888,0.170916307
66,0.328397989,0.037065672,-0.090570179,0.816771715,-0.299532339,0.451441633,0.639773757,-0.164274079,-0.199144629,0.393833008
67,0.441122362,-0.240656418,0.080750398,-0.204617964,-0.224172691,0.19159095,-0.526907562,-0.167613417,0.295328129,-0.235519939
68,-0.024684578,-0.329560044,0.635629122,0.028767438,0.105099275,0.10177272,0.328370747,-0.152741641,-0.16982893,0.265976457
69,0.053174439,0.460047748,0.153103727,-0.06237161,0.274231802,-0.065191031,-0.036255369,-0.068099532,-0.017898936,-0.010082648
70,-0.116003637,-0.287281636,0.309063257,-0.041980439,0.166591748,0.06196569,0.014722431,-0.073810528,0.148994634,0.501701101
71,-0.145751243,0.198763158,-0.003845989,0.33381423,-0.199345326,0.166165029,-0.018882986,-0.032072553,0.308346528,0.03115514
72,-0.026900377,-0.161339867,0.191121964,0.261266094,-0.007425582,-0.094857268,0.024574604,-0.264118304,0.22510369,0.327122536
73,-0.479573752,-0.887977162,-0.38851212,0.553047222,0.647419038,0.237498867,-0.298129136,0.485632723,-0.568944907,0.221507269
74,0.62087638,0.327457669,-0.40544179,-0.099128893,-0.279854787,0.309738145,-0.078570531,0.334618291,-0.090722458,-0.182098042
75,-0.01409524,-0.048008755,0.080049479,0.070754025,0.012087974,0.549134124,0.321074432,-0.156673117,0.129210976,-0.184272428
76,-0.270044064,-0.165424683,0.55925725,0.140966259,-0.132953955,-0.024349312,0.184900891,-0.279149745,0.046298408,0.329638782
77,0.062131809,-0.514158696,-0.177027777,0.527107768,0.564812956,-0.338331605,-0.009537254,0.061447294,-0.200023442,0.686700323
78,-0.164992593,-0.035985974,0.255121094,0.180944877,0.124147304,0.209491483,0.329507592,-0.383759826,0.026456488,-0.068655919
79,0.052488242,-0.182322663,-0.243004761,0.307147851,-0.283723998,-0.430332056,0.27940576,-0.005328694,0.010710507,0.130027608
80,0.407488127,0.070033867,-0.474635877,-0.391803219,0.06847194,-0.294080215,0.414544069,0.362395102,0.080428866,0.050930687
81,-0.234789929,-0.028865356,0.170241026,0.333971738,0.014775783,0.240887103,0.283658775,-0.470197982,0.229012732,0.151714137
82,0.247326625,0.136011522,0.035795967,0.035209123,0.335971061,-0.430882674,-0.074885693,-0.18435264,0.223698978,0.078461394
83,0.18801318,-0.095658106,0.030067171,0.089557704,0.3764237,-0.568373261,0.275135364,0.037511784,0.527852217,0.483692663
84,0.640122374,-0.166278846,-0.058921507,-0.072649674,0.093688598,-0.013130043,0.167807844,0.367174143,0.805564283,0.323852711
85,0.081684868,0.408717874,-0.205670711,-0.044059729,0.308888891,-0.022547003,-0.315347515,0.094855641,-0.162290403,-0.060905742
86,-0.190251188,0.161439272,0.209424024,-0.338003456,-0.052365923,0.035780582,0.058990497,-0.097791319,0.329710784,-0.065492624
87,-0.156149899,0.051457001,0.595937491,0.086179358,0.271993345,-0.052578574,0.258974542,-0.019123712,0.389145881,0.301467042
88,-0.092388713,0.039643123,-0.165810496,-0.362703908,-0.198529201,-0.001985845,0.02160034,0.023494732,0.226127082,-0.462114659
89,0.69916944,-0.076407601,-0.106271045,-0.117030399,0.134856879,-0.291225166,0.021430393,-0.226951311,0.415749519,-0.101591519
90,0.245669574,0.516849597,-0.716561549,-0.131439224,0.126414834,-0.002663057,-0.222887677,-0.049842886,0.192740877,-0.037040392
91,0.453952867,-0.048247159,-0.136779092,-0.271245132,-0.362740245,0.391848258,0.011616794,0.360365605,-0.230906237,-0.225083999
92,0.21400147,0.243979646,-0.607705507,-0.048392539,0.516885811,0.092487223,0.06805421,0.337971452,-0.170224103,-0.39615315
